City,PM2.5
"Baltimore-Columbia-Towson, MD",7.7
"Beaver Dam, WI",7.7
"Dyersburg, TN",7.7
"Fayetteville-Springdale-Rogers, AR-MO",7.7
"Green Bay, WI",7.7
"Hammond, LA",7.7
"Huntsville, AL",7.7
"Morgantown, WV",7.7
"San Francisco-Oakland-Hayward, CA",7.677777778
"Huntington-Ashland, WV-KY-OH",7.666666667
"Omaha-Council Bluffs, NE-IA",7.66
"Portsmouth, OH",7.65
"Columbus, IN",7.6
"Durham-Chapel Hill, NC",7.6
"Lake Charles, LA",7.6
"State College, PA",7.6
"Baraboo, WI",7.5
"Carson City, NV",7.5
"Clarksburg, WV",7.5
"Lima, OH",7.5
"Prineville, OR",7.5
"Red Bluff, CA",7.5
"Scranton--Wilkes-Barre--Hazleton, PA",7.5
"Somerset, KY",7.5
"Buffalo-Cheektowaga-Niagara Falls, NY",7.433333333
"Ardmore, OK",7.4
"Bowling Green, KY",7.4
"Columbia, SC",7.4
"Daphne-Fairhope-Foley, AL",7.4
"Deltona-Daytona Beach-Ormond Beach, FL",7.4
"Harrisonburg, VA",7.4
"Tallahassee, FL",7.4
"Seattle-Tacoma-Bellevue, WA",7.385714286
"Jacksonville, FL",7.3
"New Haven-Milford, CT",7.3
"Bay City, MI",7.3
"Douglas, GA",7.3
"Indiana, PA",7.3
"Killeen-Temple, TX",7.3
"Odessa, TX",7.3
"Vallejo-Fairfield, CA",7.3
"Richmond, VA",7.28
"Logan, UT-ID",7.25
"Bridgeport-Stamford-Norwalk, CT",7.2
"Cookeville, TN",7.2
"Greenfield Town, MA",7.2
"Lincoln, NE",7.2
"Minot, ND",7.2
"Roanoke Rapids, NC",7.2
"Rochester, MN",7.2
"Roanoke, VA",7.15
"San Jose-Sunnyvale-Santa Clara, CA",7.15
"Virginia Beach-Norfolk-Newport News, VA-NC",7.1
"Charlottesville, VA",7.1
"Fort Collins, CO",7.1
"Lakeland-Winter Haven, FL",7.1
"Lawton, OK",7.1
"Denver-Aurora-Lakewood, CO",7.071428571
"Keene, NH",7
"Kingsport-Bristol-Bristol, TN-VA",7
"Ogden-Clearfield, UT",7
"Sheridan, WY",7
"Tampa-St. Petersburg-Clearwater, FL",6.975
"Provo-Orem, UT",6.95
"Miami-Fort Lauderdale-West Palm Beach, FL",6.911111111
"Bemidji, MN",6.9
"Cambridge, MD",6.9
"Eureka-Arcata-Fortuna, CA",6.9
"North Port-Sarasota-Bradenton, FL",6.9
"Hartford-West Hartford-East Hartford, CT",6.85
"Rochester, NY",6.85
"Grand Island, NE",6.8
"Greenville, NC",6.8
"Lawrenceburg, TN",6.8
"Palm Bay-Melbourne-Titusville, FL",6.8
"Helena, MT",6.75
"Atlantic City-Hammonton, NJ",6.7
"Jamestown-Dunkirk-Fredonia, NY",6.7
"Lynchburg, VA",6.7
"Rutland, VT",6.7
"Las Cruces, NM",6.675
"Ellensburg, WA",6.6
"Hobbs, NM",6.6
"Oxnard-Thousand Oaks-Ventura, CA",6.6
"Pittsfield, MA",6.6
"Portland-Vancouver-Hillsboro, OR-WA",6.575
"Albuquerque, NM",6.52
"Albany-Schenectady-Troy, NY",6.5
"Orlando-Kissimmee-Sanford, FL",6.5
"Truckee-Grass Valley, CA",6.5
"Boulder, CO",6.4
"Boston-Cambridge-Newton, MA-NH",6.35
"Asheville, NC",6.3
"Norwich-New London, CT",6.3
"Vernal, UT",6.3
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",6.25
"Santa Rosa, CA",6.2
"Rapid City, SD",6.2
"Portland-South Portland, ME",6.15
"Santa Maria-Santa Barbara, CA",6.1
"Athens, OH",6.1
"Syracuse, NY",6.1
"Providence-Warwick, RI-MA",6.083333333
"Aberdeen, SD",6
"Amarillo, TX",6
"Gainesville, FL",6
"Tucson, AZ",5.95
"Corning, NY",5.9
"Springfield, MA",5.9
"Augusta-Waterville, ME",5.8
"Cedar City, UT",5.7
"Lubbock, TX",5.7
"Brookings, SD",5.6
"Bremerton-Silverdale, WA",5.5
"Las Vegas-Henderson-Paradise, NV",5.490909091
"Bennington, VT",5.4
"Burlington-South Burlington, VT",5.4
"Wilmington, NC",5.4
"Colorado Springs, CO",5.3
"Grand Junction, CO",5.3
"Lewiston-Auburn, ME",5.3
"Santa Cruz-Watsonville, CA",5.25
"Cheyenne, WY",5.2
"Claremont-Lebanon, NH-VT",5.1
"St. George, UT",5.1
"Salinas, CA",5.033333333
"Duluth, MN-WI",4.95
